-0.35872,-0.35872,1f0a4,1f0a5,1f0db,1f0d9,1f0be,1f0a1,1f0d4,1f0da,1f0cb,1f0b4,1f0ce
-0.78238,-0.47777,1f0c1,1f0b6,1f0cd,1f0c2,1f0a3,1f0c6,1f0cb,1f0d9,1f0ca,1f0b4,1f0aa
0.02819,0.02819,1f0d6,1f0d9,1f0ab,1f0c2,1f0b5,1f0a1,1f0a3,1f0d3,1f0ce,1f0b6,1f0c8
-0.62831,-0.54738,1f0de,1f0a2,1f0c6,1f0c7,1f0cd,1f0b1,1f0a3,1f0c4,1f0ce,1f0b3,1f0b4
-0.49293,-0.29724,1f0bb,1f0a1,1f0ce,1f0a2,1f0a7,1f0da,1f0be,1f0cb,1f0bd,1f0c4,1f0de
1.5,1.5,1f0c5,1f0d1,1f0da,1f0a9,1f0cd,1f0b8,1f0ae,1f0a2,1f0c6,1f0c1,1f0ab
0.16945,0.33891,1f0a8,1f0a5,1f0b9,1f0ba,1f0bb,1f0a1,1f0d4,1f0b2,1f0da,1f0a4,1f0d7
-0.70011,-0.15463,1f0c8,1f0bb,1f0be,1f0d9,1f0aa,1f0c7,1f0ab,1f0d8,1f0b9,1f0d2,1f0dd
-0.08495,-0.08495,1f0c6,1f0a2,1f0dd,1f0bb,1f0ce,1f0b9,1f0de,1f0a5,1f0cd,1f0d2,1f0d4
0.18067,0.36133,1f0d9,1f0c8,1f0a9,1f0c1,1f0ba,1f0a8,1f0ca,1f0b1,1f0c2,1f0b3,1f0d8
-0.77332,-0.31503,1f0a1,1f0aa,1f0ca,1f0ba,1f0da,1f0cb,1f0db,1f0ab,1f0bb,1f0a2,1f0de
-0.41353,-0.45176,1f0cb,1f0ab,1f0ae,1f0c7,1f0a9,1f0c3,1f0c9,1f0b1,1f0c1,1f0c6,1f0b8
-0.41998,-0.41998,1f0b1,1f0d5,1f0a9,1f0a4,1f0b6,1f0da,1f0ad,1f0c3,1f0ab,1f0d8,1f0aa
-0.28409,-0.28409,1f0c9,1f0b6,1f0da,1f0b5,1f0c6,1f0b2,1f0cb,1f0c3,1f0ae,1f0d8,1f0ab
0.70518,0.70518,1f0c5,1f0b1,1f0ae,1f0d5,1f0aa,1f0a7,1f0ce,1f0b7,1f0de,1f0cb,1f0cd
-0.61916,-0.05502,1f0a9,1f0b6,1f0be,1f0d8,1f0aa,1f0ca,1f0bb,1f0a8,1f0da,1f0b4,1f0cd
0.79085,0.79085,1f0c8,1f0a2,1f0b6,1f0c7,1f0ce,1f0c5,1f0ca,1f0b9,1f0d9,1f0bb,1f0cb
-0.60246,-0.60246,1f0a1,1f0c4,1f0d5,1f0c6,1f0d8,1f0c3,1f0ba,1f0b7,1f0c8,1f0a8,1f0ca
0.55737,0.98545,1f0d6,1f0b9,1f0ca,1f0b3,1f0ba,1f0a3,1f0d3,1f0a5,1f0da,1f0a4,1f0c5
0.28994,0.28994,1f0b1,1f0b4,1f0da,1f0a7,1f0db,1f0d4,1f0aa,1f0c5,1f0d9,1f0ba,1f0ae
0.15701,0.30684,1f0c6,1f0a7,1f0bb,1f0b3,1f0dd,1f0c3,1f0d7,1f0d6,1f0ba,1f0a1,1f0d5
0.12394,0.12394,1f0bd,1f0c1,1f0d3,1f0b1,1f0ca,1f0d6,1f0c8,1f0b2,1f0c4,1f0a9,1f0ce
-0.49162,-0.49162,1f0d3,1f0ae,1f0ce,1f0db,1f0dd,1f0d1,1f0c2,1f0ba,1f0da,1f0b6,1f0ab
0.68042,0.68042,1f0ad,1f0d1,1f0b7,1f0b1,1f0db,1f0c1,1f0bd,1f0b3,1f0a6,1f0aa,1f0ca
0.67972,0.67972,1f0c7,1f0ba,1f0da,1f0aa,1f0ca,1f0ab,1f0bb,1f0cb,1f0db,1f0be,1f0de
0.55395,0.55395,1f0b4,1f0b3,1f0a6,1f0d2,1f0dd,1f0c6,1f0ab,1f0c2,1f0b8,1f0ca,1f0cd
0.63904,1.27808,1f0c2,1f0a2,1f0a8,1f0d4,1f0b7,1f0a1,1f0c8,1f0a5,1f0c6,1f0c4,1f0c7
